resource, ours, random, distance, price
100,10546.48,123006.50,45722.29,126244.89
200,11335.56,123787.21,46491.58,128372.14
300,12124.63,124567.91,47260.87,130499.39
400,12913.71,125348.62,48030.17,132626.64
