num_drones, ours, random, distance, price
1,12034.62,1270.74,2066.24,1776.96
2,12043.80,1146.73,1756.50,1853.72
3,12242.32,1070.14,674.76,1967.65
4,12960.92,1228.56,893.19,2209.71
