Iteration,Drone_0,Drone_1,Drone_2,Drone_3
54,10118.47,13208.1,11578.7,7280.04
55,10118.47,13208.17,11578.7,7280.04
56,10118.47,13208.23,11578.7,7280.04
57,10118.47,13208.29,11578.7,7280.04
58,10118.47,13208.34,11578.7,7280.04
59,10118.47,13208.39,11578.7,7280.04
60,10118.47,13208.42,11578.7,7280.04
61,10118.47,13208.46,11578.7,7280.04
62,10118.47,13208.49,11578.7,7280.05
63,10118.47,13208.52,11578.7,7280.05
64,10118.47,13208.54,11578.7,7280.05
65,10118.47,13208.56,11578.7,7280.05
66,10118.47,13208.58,11578.7,7280.05
67,10118.47,13208.6,11578.7,7280.05
68,10118.47,13208.61,11578.7,7280.05
69,10118.47,13208.62,11578.7,7280.05
70,10118.47,13208.63,11578.7,7280.05
71,10118.47,13208.64,11578.7,7280.05
72,10118.47,13208.65,11578.7,7280.05
73,10118.47,13208.66,11578.7,7280.05
74,10118.47,13208.67,11578.7,7280.05
75,10118.47,13208.67,11578.7,7280.05
76,10118.47,13208.68,11578.7,7280.05
77,10118.47,13208.68,11578.7,7280.05
78,10118.47,13208.69,11578.7,7280.05
79,10118.47,13208.69,11578.7,7280.05
80,10118.47,13208.7,11578.7,7280.05
81,10118.47,13208.7,11578.7,7280.05
82,10118.47,13208.7,11578.7,7280.05
83,10118.47,13208.7,11578.7,7280.05
84,10118.47,13208.7,11578.7,7280.05
85,10118.47,13208.71,11578.7,7280.05
86,10118.47,13208.71,11578.7,7280.05
87,10118.47,13208.71,11578.7,7280.05
88,10118.47,13208.71,11578.7,7280.05
89,10118.47,13208.71,11578.7,7280.05
90,10118.47,13208.71,11578.7,7280.05
91,10118.47,13208.71,11578.7,7280.05
92,10118.47,13208.71,11578.7,7280.05
93,10118.47,13208.71,11578.7,7280.05
94,10118.47,13208.72,11578.7,7280.05
95,10118.47,13208.72,11578.7,7280.05
96,10118.47,13208.72,11578.7,7280.05
97,10118.47,13208.72,11578.7,7280.05
98,10118.47,13208.72,11578.7,7280.05
99,10118.47,13208.72,11578.7,7280.05
100,10118.47,13208.72,11578.7,7280.05
101,10118.47,13208.72,11578.7,7280.05
102,10118.47,13208.72,11578.7,7280.05
103,10118.47,13208.72,11578.7,7280.05
104,10118.47,13208.72,11578.7,7280.05
105,10118.47,13208.72,11578.7,7280.05
106,10118.47,13208.72,11578.7,7280.05
107,10118.47,13208.72,11578.7,7280.05
108,10118.47,13208.72,11578.7,7280.05
109,10118.47,13208.72,11578.7,7280.05
110,10118.47,13208.72,11578.7,7280.05
111,10118.47,13208.72,11578.7,7280.05
112,10118.47,13208.72,11578.7,7280.05
113,10118.47,13208.72,11578.7,7280.05
114,10118.47,13208.72,11578.7,7280.05
115,10118.47,13208.72,11578.7,7280.05
116,10118.47,13208.72,11578.7,7280.05
117,10118.47,13208.72,11578.7,7280.05
118,10118.47,13208.72,11578.7,7280.05
119,10118.47,13208.72,11578.7,7280.05
120,10118.47,13208.72,11578.7,7280.05
121,10118.47,13208.72,11578.7,7280.05
122,10118.47,13208.72,11578.7,7280.05
123,10118.47,13208.72,11578.7,7280.05
124,10118.47,13208.72,11578.7,7280.05
125,10118.47,13208.72,11578.7,7280.05
126,10118.47,13208.72,11578.7,7280.05
127,10118.47,13208.72,11578.7,7280.05
128,10118.47,13208.72,11578.7,7280.05
129,10118.47,13208.72,11578.7,7280.05
130,10118.47,13208.72,11578.7,7280.05
131,10118.47,13208.72,11578.7,7280.05
132,10118.47,13208.72,11578.7,7280.05
133,10118.47,13208.72,11578.7,7280.05
134,10118.47,13208.72,11578.7,7280.05
135,10118.47,13208.72,11578.7,7280.05
136,10118.47,13208.72,11578.7,7280.05
137,10118.47,13208.72,11578.7,7280.05
138,10118.47,13208.72,11578.7,7280.05
139,10118.47,13208.72,11578.7,7280.05
140,10118.47,13208.72,11578.7,7280.05
141,10118.47,13208.72,11578.7,7280.05
142,10118.47,13208.72,11578.7,7280.05
143,10118.47,13208.72,11578.7,7280.05
144,10118.47,13208.72,11578.7,7280.05
145,10118.47,13208.72,11578.7,7280.05
146,10118.47,13208.72,11578.7,7280.05
147,10118.47,13208.72,11578.7,7280.05
148,10118.47,13208.72,11578.7,7280.05
149,10118.47,13208.72,11578.7,7280.05
150,10118.47,13208.72,11578.7,7280.05
151,10118.47,13208.72,11578.7,7280.05
152,10118.47,13208.72,11578.7,7280.05
153,10118.47,13208.72,11578.7,7280.05
154,10118.47,13208.72,11578.7,7280.05
155,10118.47,13208.72,11578.7,7280.05
156,10118.47,13208.72,11578.7,7280.05
157,10118.47,13208.72,11578.7,7280.05
158,10118.47,13208.72,11578.7,7280.05
159,10118.47,13208.72,11578.7,7280.05
160,10118.47,13208.72,11578.7,7280.05
161,10118.47,13208.72,11578.7,7280.05
162,10118.47,13208.72,11578.7,7280.05
163,10118.47,13208.72,11578.7,7280.05
164,10118.47,13208.72,11578.7,7280.05
165,10118.47,13208.72,11578.7,7280.05
166,10118.47,13208.72,11578.7,7280.05
167,10118.47,13208.72,11578.7,7280.05
168,10118.47,13208.72,11578.7,7280.05
169,10118.47,13208.72,11578.7,7280.05
170,10118.47,13208.72,11578.7,7280.05
171,10118.47,13208.72,11578.7,7280.05
172,10118.47,13208.72,11578.7,7280.05
173,10118.47,13208.72,11578.7,7280.05
174,10118.47,13208.72,11578.7,7280.05
175,10118.47,13208.72,11578.7,7280.05
176,10118.47,13208.72,11578.7,7280.05
177,10118.47,13208.72,11578.7,7280.05
178,10118.47,13208.72,11578.7,7280.05
179,10118.47,13208.72,11578.7,7280.05
180,10118.47,13208.72,11578.7,7280.05
181,10118.47,13208.72,11578.7,7280.05
182,10118.47,13208.72,11578.7,7280.05
183,10118.47,13208.72,11578.7,7280.05
184,10118.47,13208.72,11578.7,7280.05
185,10118.47,13208.72,11578.7,7280.05
186,10118.47,13208.72,11578.7,7280.05
187,10118.47,13208.72,11578.7,7280.05
188,10118.47,13208.72,11578.7,7280.05
189,10118.47,13208.72,11578.7,7280.05
190,10118.47,13208.72,11578.7,7280.05
191,10118.47,13208.72,11578.7,7280.05
192,10118.47,13208.72,11578.7,7280.05
193,10118.47,13208.72,11578.7,7280.05
194,10118.47,13208.72,11578.7,7280.05
195,10118.47,13208.72,11578.7,7280.05
196,10118.47,13208.72,11578.7,7280.05
197,10118.47,13208.72,11578.7,7280.05
198,10118.47,13208.72,11578.7,7280.05
199,10118.47,13208.72,11578.7,7280.05
200,10118.47,13208.72,11578.7,7280.05
